Risk_Description,Impact,Likelihood
"Prolonged power outage causes air conditioning system failure in server room, leading to overheating and failure of critical systems",5,4
"Accidental deletion of production database by junior admin without proper backups, causing permanent data loss",5,2
"Cryptolocker malware infection spreads rapidly across network from unpatched systems, encrypting critical files and disrupting operations",4,3
Improper firewall rules allow malicious actor to gain access to proprietary source code repositories,3,2
"DDoS attack overwhelms network bandwidth, causing website and customer portal outages",3,4
"Expired TLS certificate causes customer-facing web applications to display errors, impacting user experience",2,3
"Malware circumvents outdated antivirus software, accessing and exfiltrating sensitive customer data",4,3
"Improper data validation in web application leads to SQL injection attack, exposing customer PII",4,2
Failure of SAN storage system during peak traffic hours leads to outage of business-critical applications,5,3
Misconfigured AWS S3 buckets accessible to public contain proprietary business data and source code,4,1
Outdated OS and unpatched services on public-facing servers increase vulnerability to exploits,3,4
Insider threat leads to theft of API keys and unauthorized access to cloud infrastructure,4,1
"Legacy systems at end of support lack critical security patches, increasing risk of compromise",3,3
"Natural disaster destroys primary data center and replication to DR site fails, causing prolonged downtime",5,2
Accidental misconfiguration of routing and firewall rules blocks all external web traffic,4,2
Weak passwords on IoT devices allow pivot into core network segments containing sensitive data,4,3
Spear phishing attack tricks CFO into initiating fraudulent wire transfer,5,1
Failure to encrypt laptop leads to breach of customer data if device is lost/stolen,4,2
Web scrapers steal thousands of records containing PII from unprotected content management system,3,2
Outage of core network devices causes widespread connectivity issues for office users,4,3
Inadequate BC/DR planning leads to slow recovery from catastrophic data center failure,5,1
Compromised vendor credentials used to gain access and implant backdoors in network,4,1
Uncontrolled BYOD devices introduce malware and security holes onto guest wireless network,3,3
Improper cloud architecture and lack of redundancy causes widespread service outage,4,2
Embedded hardcoded passwords and insecure protocols in IoT devices open attack vectors into IT infrastructure,3,4
Targeted ransomware attack encrypts critical file shares and email servers,5,2
"Expired TLS certificate causes customer-facing web applications to display errors, impacting user experience",2,3
Failure to patch publicly disclosed 0-day exploit leaves network open to attack,4,4
Insufficient log monitoring and alerting enables intruder to operate undetected,3,2
Inadequate vulnerability management program allows preventable exploits to succeed,3,3
Compromised employee credentials used to slowly exfiltrate sensitive data over months,4,1
Lack of multi-factor authentication leaves remote access vulnerable to password attacks,3,2
Unrestricted USB devices spread malware between air-gapped systems containing sensitive data,4,1
Improper hardening and access controls enable unauthorized lateral movement between servers,3,3
Cascading system failures arise from complex interdependencies between critical platforms,5,2
No encryption on mobile devices means lost device puts data at risk,3,3
Improper data destruction practices on retired hardware leave sensitive data exposed,4,1
Lack of network segmentation allows malware to propagate between internal subnets,3,3
"Cybersecurity incident response plans untested, causing delays during actual breach",2,3
Failure to patch EOL systems exposes vulnerabilities prosecutable by ransomware groups,4,4
Insufficient capacity planning causes performance issues during unexpected traffic spikes,3,4
Lack of proper devsecops enables vulnerabilities and misconfigurations into production,4,3
"Extended power outage causing shutdown of core network devices and servers, leading to prolonged downtime and inability to provide services",5,4
"Malware infection spreading quickly across endpoints due to lack of up-to-date antivirus definitions, causing widespread system instability",4,3
"Denial of service attack flooding network with malicious traffic, overloading infrastructure and preventing legitimate access",5,2
"Unpatched critical OS vulnerability on web servers exploited by attacker, allowing remote code execution and data theft",5,3
"Misconfigured firewall rules inadvertently opening management interfaces to the public internet, enabling unauthorized remote access",4,4
"Improper access controls allowing developer accounts full production access, leading to potential data leakage",3,4
Compromised vendor credentials used to infiltrate network through VPN and install backdoors,5,2
Failure of redundant power supply in core router causing unexpected downtime during maintenance window,2,3
"Accidental deletion of customer database by administrator, requiring restoration from 12-hour old backups",4,2
"Improper certificate validation enabling man-in-the-middle attack between servers, potentially exposing sensitive data",4,3
Outdated encryption algorithms used for data at rest compromised by brute force attack,5,1
"Improper input sanitization on public web form allowing SQL injection attack, leading to data loss",3,4
"Weak default passwords left unchanged on IoT devices, allowing attackers access to internal network",4,5
Failure to patch firmware on network switches leading to exploit of critical vulnerability,3,4
Insufficient logging and monitoring of access to customer data repository preventing auditing,2,5
Overloaded SAN storage pool due to unchecked growth leading to performance issues,3,4
Hacked vendor account used to distribute malware through software updates to customers,4,2
DoS attack on DNS infrastructure preventing name resolution and access to applications,4,3
Improper security config on cloud storage exposing customer data to public internet access,5,3
Compromised API keys due to weak access controls allowing attackers to manipulate data,4,4
Outage of core systems due to air conditioning failure in data center server room,3,2
Theft of unencrypted laptop containing sensitive customer data,5,1
Hard drive failure in RAID array during rebuild process leads to permanent data loss,4,2
Unauthorized insider access to financial data stored on databases,4,2
Ransomware spread through phishing email encrypts critical file shares impacting operations,5,3
Buffer overflow vulnerability exploited to gain remote access for malware installation on servers,4,2
Improper access revocation for terminated employee accounts allowing continued access,3,4
Outdated operating systems no longer receiving security patches vulnerable to known exploits,4,5
Failure to renew trusted TLS/SSL certificates causes errors for customer access to websites,2,3
Insecure default configurations on new servers and network devices deployed into production,3,5
Unrestricted outbound internet access enables malware command and control communication,4,3
Weak passwords used on administrator accounts allowing easy brute force compromise,4,5
No redundancy for critical infrastructure like core routers leading to extended outages,4,3
Lack of network segmentation enabling lateral movement after malware infection,3,4
Insufficient capacity planning leads to undersized infrastructure unable to handle growth,2,4
No defined backup/recovery plan for critical systems leading to prolonged downtime,4,2
Improper decommissioning of retired hard drives allows data recovery by unauthorized parties,3,2
Lack of multifactor authentication for remote access enables compromised credential use,5,4
Uncontrolled personal devices connecting to network introducing malware infections,3,4
Failure to encrypt mobile devices leads to data breach in case of theft or loss,4,3
Extended power outage at primary data center causes all servers and network equipment to shut down leading to prolonged downtime and inability to access systems,5,4
"Accidental deletion of critical database by administrator, requiring restore from 1-week old backup resulting in potential data loss",4,2
"Cyber attack exploits unpatched vulnerability in firewalls, allowing malware to spread across network impacting operations",5,3
Failure of HVAC system in server room overheats equipment leading to system crashes and hardware damage,3,2
Misconfigured network access controls allow unauthorized remote access to sensitive customer data,4,3
"Malware infection through phishing email encrypts files on file server, impacting ability to access critical documents",3,4
Natural disaster destroys primary data center rendering all systems unavailable until failover to secondary facility is complete,5,2
Network switch failure isolates core systems from access and takes down dependent services,4,3
Incorrect firewall rule blocks all inbound web traffic interrupting customer access to public-facing applications,3,2
Accidental misconfiguration of load balancer causes uneven traffic distribution crashing critical app servers,4,1
Compromised vendor credentials used to gain access to network and implant backdoor for future access,5,2
